"@timestamp","account.email","machine_uuid","activity.game_title","activity.game_id","activity.play_start","activity.play_end","activity.play_duration","activity.1p_buttons","activity.1p_joystick","activity.1p_spinner","activity.2p_buttons","activity.2p_joystick","activity.2p_spinner","log_type","activity.log_at","log.timestamp","log_at"
"Mar 5, 2020 @ 13:43:38.818",,88001911B0019068,"Lock 'n' Chase™ (2600)",303,"Mar 3, 2020 @ 17:29:31.268","Mar 3, 2020 @ 17:29:55.147",24,2,0,1,0,0,6,"game-play",,"Mar 5, 2020 @ 13:43:38.494","Mar 3, 2020 @ 17:29:55.148"
"Mar 5, 2020 @ 13:43:38.818",,88001911B0019068,"Asteroids® (2600)",54,"Mar 3, 2020 @ 17:30:33.481","Mar 3, 2020 @ 17:51:53.976","1,280",940,405,124,0,21,140,"game-play",,"Mar 5, 2020 @ 13:43:38.500","Mar 3, 2020 @ 17:51:53.977"
"Mar 5, 2020 @ 13:43:38.818",,88001911B0019068,Aladdin,418,"Mar 4, 2020 @ 18:53:18.271","Mar 4, 2020 @ 19:18:24.500","1,506",355,771,"2,451",4,86,615,"game-play",,"Mar 5, 2020 @ 13:43:38.755","Mar 4, 2020 @ 19:18:24.502"
"Mar 5, 2020 @ 13:43:38.817",,88001911B0019068,"Asteroids® (Arcade)",137,"Mar 2, 2020 @ 22:29:10.956","Mar 2, 2020 @ 22:31:01.530",111,207,79,399,0,0,104,"game-play",,"Mar 5, 2020 @ 13:43:38.149","Mar 2, 2020 @ 22:31:01.531"
"Mar 5, 2020 @ 13:43:38.817",,88001911B0019068,"Fix-It Felix, Jr.",413,"Mar 2, 2020 @ 22:31:16.147","Mar 2, 2020 @ 22:32:15.444",59,25,24,36,0,0,31,"game-play",,"Mar 5, 2020 @ 13:43:38.155","Mar 2, 2020 @ 22:32:15.445"
"Mar 5, 2020 @ 13:43:38.817",,88001911B0019068,Aladdin,418,"Mar 2, 2020 @ 22:32:25.643","Mar 2, 2020 @ 22:38:04.790",339,267,283,0,0,0,0,"game-play",,"Mar 5, 2020 @ 13:43:38.163","Mar 2, 2020 @ 22:38:04.791"
"Mar 5, 2020 @ 13:43:38.817",,88001911B0019068,"Asteroids® (Arcade)",137,"Mar 2, 2020 @ 22:55:11.163","Mar 2, 2020 @ 23:29:14.771","2,043","4,266","3,160","37,237","1,286",852,"31,797","game-play",,"Mar 5, 2020 @ 13:43:38.185","Mar 2, 2020 @ 23:29:14.772"
"Mar 5, 2020 @ 13:43:38.817",,88001911B0019068,"Asteroids® (Arcade)",137,"Mar 2, 2020 @ 23:30:13.868","Mar 2, 2020 @ 23:51:32.401","1,279","2,536","3,567","14,971",243,453,"13,399","game-play",,"Mar 5, 2020 @ 13:43:38.207","Mar 2, 2020 @ 23:51:32.402"
"Mar 5, 2020 @ 13:43:38.816",,88001911B0019068,"Sprint (Arcade)",164,"Mar 2, 2020 @ 21:28:03.147","Mar 2, 2020 @ 21:47:25.034","1,162",13,81,765,0,0,92,"game-play",,"Mar 5, 2020 @ 13:43:37.873","Mar 2, 2020 @ 21:47:25.035"
"Mar 5, 2020 @ 13:43:33.723",,88001911B0019068,"Tetris® Plus 2",449,"Mar 2, 2020 @ 20:16:25.883","Mar 2, 2020 @ 20:20:40.610",255,21,9,424,32,89,687,"game-play",,"Mar 5, 2020 @ 13:43:33.625","Mar 2, 2020 @ 20:20:40.611"
"Mar 5, 2020 @ 13:43:33.723",,88001911B0019068,"Tetris® Plus",448,"Mar 2, 2020 @ 21:20:36.075","Mar 2, 2020 @ 21:24:14.756",218,61,108,6,0,0,2,"game-play",,"Mar 5, 2020 @ 13:43:33.683","Mar 2, 2020 @ 21:24:14.756"
